GridNo,Latitude,Longitude,Identity,PreyBase,Predators,ForestCover_Water,HumanDisturbance,OtherSpecies,Payoff_prey,Payoff_predator,Payoff_forest,Payoff_human,Payoff_other,p_prey,p_predator,p_forest,p_human,p_other,Score_prey,Score_predator,Score_forest,Score_human,Score_other,Net_score_grid,Rank,mycolor,habitat
157,18.5,84.5,0,0,5.05,6.233333333,4.033333333,3.166666667,0,6.233333333,6.233333333,4.033333333,3.166666667,6,3,-6,1,6,0,18.7,-37.4,4.033333333,19,21.66666667,142,Blue,-1
158,19.5,84.5,0,0,2.972222222,5.333333333,0.222222222,3.833333333,0,6.233333333,5.333333333,0.222222222,3.833333333,6,6,-6,6,1,0,37.4,-32,1.333333332,3.833333333,52.83333333,127,Blue,-1
159,29.5,84.5,0,0,4.025,4.006481481,0.083333333,3.333333333,0,6.233333333,4.006481481,0.083333333,3.333333333,6,6,1,6,6,0,37.4,4.006481481,0.499999998,20,309.5324074,24,Green,100
160,30.5,84.5,0,0,4.525,8.051075269,0.222222222,6.296801347,0,6.233333333,8.051075269,0.222222222,6.296801347,6,6,-6,6,-6,0,37.4,-48.30645161,1.333333332,-37.78080808,-236.7696318,193,Yellow,-1
161,22.5,84.5,1,0,3.78,4.066666667,0,13.27777778,0,6.233333333,4.066666667,0,13.27777778,6,6,1,6,-6,0,37.4,4.066666667,0,-79.66666668,-191.0000001,186,Yellow,-1
162,23.5,84.5,1,0,4.15,6.333333333,0,14.26772487,0,6.233333333,6.333333333,0,14.26772487,6,6,-6,6,-6,0,37.4,-38,0,-85.60634922,-431.0317461,215,Black,-1
163,24.5,84.5,1,0,4.58,0,1,7,0,6.233333333,0,1,7,6,6,6,6,-6,0,37.4,0,6,-42,7,146,Blue,-1
164,25.5,84.5,1,0,4.5,0,0.5,2.857142857,0,6.233333333,0,0.5,2.857142857,6,6,6,6,6,0,37.4,0,3,17.14285714,287.7142857,34,Orange,-1
165,26.5,84.5,1,0,3.566666667,3.166666667,0,7.920138889,0,6.233333333,3.166666667,0,7.920138889,6,6,6,6,-6,0,37.4,19,0,-47.52083333,44.39583335,133,Blue,-1
166,27.5,84.5,1,0,3.066666667,3.166666667,0,16.16666667,0,6.233333333,3.166666667,0,16.16666667,6,6,6,6,-6,0,37.4,19,0,-97.00000002,-203.0000001,188,Yellow,-1
167,20.5,84.5,F50,0,2.1,3.333333333,0,3.786306043,0,6.233333333,3.333333333,0,3.786306043,6,6,1,6,1,0,37.4,3.333333333,0,3.786306043,222.5981969,87,Brown,-1
168,21.5,84.5,F51,0,2.2,0.972222222,5,14.82638889,0,6.233333333,0.972222222,5,14.82638889,6,6,6,6,-6,0,37.4,5.833333332,30,-88.95833334,-78.62500004,168,Purple,-1
169,28.5,84.5,F52,0.25,0.25,0.111111111,7.166666667,1.25,0.25,6.233333333,0.111111111,7.166666667,1.25,6,6,6,-6,6,1.5,37.4,0.666666666,-43,7.5,20.33333333,143,Blue,-1
170,18.5,85.5,0,0,4.269444444,2.388888889,3.055555556,13.25,0,6.233333333,2.388888889,3.055555556,13.25,6,6,6,6,-6,0,37.4,14.33333333,18.33333334,-79.5,-47.16666665,166,Purple,-1
171,19.5,85.5,0,2.861111111,2.861111111,5.472222222,3.027777778,8.333333333,2.861111111,6.233333333,5.472222222,3.027777778,8.333333333,1,6,-6,6,-6,2.861111111,37.4,-32.83333333,18.16666667,-50,-122.0277777,177,Purple,-1
172,20.5,85.5,0,4.3,4.3,11.61111111,0.5,6.888888889,4.3,6.233333333,11.61111111,0.5,6.888888889,1,6,-6,6,-6,4.3,37.4,-69.66666666,3,-41.33333333,-331.5,202,Yellow,-1
173,29.5,85.5,0,2.991666667,2.991666667,5.675,0,3,2.991666667,6.233333333,5.675,0,3,1,6,-6,6,6,2.991666667,37.4,-34.05,0,18,121.7083333,112,Pink,-1
174,30.5,85.5,0,5.705555556,5.705555556,0.537037037,0,3.644444444,5.705555556,6.233333333,0.537037037,0,3.644444444,-6,-6,6,6,1,-34.23333334,-37.4,3.222222222,0,3.644444444,-323.8333334,200,Yellow,-1
175,22.5,85.5,1,0,6.066666667,2.833333333,0,42.58333333,0,6.233333333,2.833333333,0,42.58333333,6,-6,6,6,-6,0,-37.4,17,0,-255.5,-1379.5,233,Black,-1
176,23.5,85.5,1,0,3.38,1.75,4.6,20.60606061,0,6.233333333,1.75,4.6,20.60606061,6,6,6,1,-6,0,37.4,10.5,4.6,-123.6363637,-355.6818185,207,Yellow,-1
177,24.5,85.5,1,3.656666667,3.656666667,5.444444444,0.466666667,0,3.656666667,6.233333333,5.444444444,0.466666667,0,1,6,-6,6,6,3.656666667,37.4,-32.66666666,2.800000002,0,55.95000005,124,Blue,-1
178,25.5,85.5,1,3.806666667,3.806666667,6.481481481,1.133333333,0.166666667,3.806666667,6.233333333,6.481481481,1.133333333,0.166666667,1,6,-6,6,6,3.806666667,37.4,-38.88888889,6.799999998,1.000000002,50.58888889,130,Blue,-1
179,26.5,85.5,1,4.05,4.05,0.527777778,0.433333333,3.25,4.05,6.233333333,0.527777778,0.433333333,3.25,1,6,6,6,6,4.05,37.4,3.166666668,2.599999998,19.5,333.5833333,12,Green,100
180,21.5,85.5,F53,0.25,0.25,4.833333333,1.166666667,2.716666667,0.25,6.233333333,4.833333333,1.166666667,2.716666667,6,6,1,6,6,1.5,37.4,4.833333333,7.000000002,16.3,335.1666667,10,Green,100
181,27.5,85.5,F54,0.2,0.2,5.333333333,0.666666667,16.08333333,0.2,6.233333333,5.333333333,0.666666667,16.08333333,6,6,-6,6,-6,1.2,37.4,-32,4.000000002,-96.49999998,-429.4999999,214,Black,-1
182,28.5,85.5,F55,3.866666667,3.866666667,2.833333333,1,4.75,3.866666667,6.233333333,2.833333333,1,4.75,1,6,6,6,1,3.866666667,37.4,17,6,4.75,345.0833333,7,Green,100
183,18.5,86.5,0,4.366666667,4.366666667,3.166666667,2.133333333,5.766666667,4.366666667,6.233333333,3.166666667,2.133333333,5.766666667,1,6,6,6,-6,4.366666667,37.4,19,12.8,-34.6,194.8333333,102,Pink,-1
184,19.5,86.5,0,4.533333333,4.533333333,5,3.166666667,0,4.533333333,6.233333333,5,3.166666667,0,1,6,1,6,6,4.533333333,37.4,5,19,0,329.6666667,14,Green,100
185,20.5,86.5,0,0,4.48,12.33333333,0,0,0,6.233333333,12.33333333,0,0,6,6,-6,6,6,0,37.4,-73.99999998,0,0,-182.9999999,184,Yellow,-1
186,27.5,86.5,0,0,6.333333333,0,2.166666667,0,0,6.233333333,0,2.166666667,0,6,-6,6,6,6,0,-37.4,0,13,0,-122,176,Purple,-1
187,28.5,86.5,0,0,4.925,1.916666667,1.041666667,0,0,6.233333333,1.916666667,1.041666667,0,6,6,6,6,6,0,37.4,11.5,6.250000002,0,275.75,46,Orange,-1
188,29.5,86.5,0,0,6.241666667,7.083333333,0.75,0,0,6.233333333,7.083333333,0.75,0,6,-6,-6,6,6,0,-37.4,-42.5,4.5,0,-377,210,Black,-1
189,30.5,86.5,0,0,3.966666667,0.366666667,0.166666667,0,0,6.233333333,0.366666667,0.166666667,0,6,6,6,6,6,0,37.4,2.200000002,1.000000002,0,203,100,Pink,-1
190,22.5,86.5,1,4.3,4.3,2.493333333,0.32,15.5,4.3,6.233333333,2.493333333,0.32,15.5,1,6,6,6,-6,4.3,37.4,14.96,1.92,-93,-172.1,182,Yellow,-1
191,23.5,86.5,1,3.957142857,3.957142857,3.416666667,0,2.416666667,3.957142857,6.233333333,3.416666667,0,2.416666667,1,6,1,6,6,3.957142857,37.4,3.416666667,0,14.5,296.3690476,30,Orange,-1
192,24.5,86.5,1,4.55,4.55,5.75,0.066666667,0.490740741,4.55,6.233333333,5.75,0.066666667,0.490740741,1,6,-6,6,6,4.55,37.4,-34.5,0.400000002,2.944444446,53.97222224,125,Blue,-1
193,25.5,86.5,1,4.155172414,4.155172414,5.7,0.344827586,0.666666667,4.155172414,6.233333333,5.7,0.344827586,0.666666667,1,6,-6,6,6,4.155172414,37.4,-34.2,2.068965516,4.000000002,67.12068966,118,Pink,-1
194,21.5,86.5,F56,5.1,5.1,10.83333333,1,4.722222222,5.1,6.233333333,10.83333333,1,4.722222222,-6,3,-6,6,1,-30.6,18.7,-64.99999998,6,4.722222222,-330.8888888,201,Yellow,-1
